Plant ID,Root Number,Predecessor,Length (cm),Prelength (cm),Diameter (cm),Branching Order,"Approx, grow time (days)",Branching Angle,Root System Width (cm),Number of Lateral Roots,Nodes,Edges
mg7_n,25,1,0.472705008,5.45170947,0.032817713,1,5.725854735,92.66547929,10,33,90,96
mg7_n,32,1,0.181148078,6.306397356,0.029652317,1,6.153198678,26.46728702,10,33,90,96
mg7_n,34,1,0.289837393,6.475233621,0.037128771,1,6.237616811,53.74430993,10,33,90,96
mg7_n,31,1,0.851079969,6.270990775,0.029410962,1,6.135495387,52.82124553,10,33,90,96
mg7_n,35,1,0.356961483,6.815112777,0.027185689,1,6.407556389,32.16063119,10,33,90,96
mg7_n,39,10,0.104821996,0.070975752,0.029093987,2,7.243080651,114.4679466,10,33,90,96
mg7_n,38,10,0.202487074,0.070975752,0.026137749,2,7.243080651,38.07603664,10,33,90,96
mg7_n,27,1,4.301309997,5.71850118,0.036911371,1,5.85925059,108.5678943,10,33,90,96
mg7_n,10,1,8.157243879,2.415185551,0.046783425,1,4.207592776,8.54E-07,10,33,90,96
mg7_n,29,1,4.625342972,6.078573145,0.042851077,1,6.039286572,82.00011042,10,33,90,96
mg7_n,26,1,5.257600328,5.512822991,0.038430909,1,5.756411495,93.05318763,10,33,90,96
mg7_n,28,1,5.453376243,5.876094002,0.043371294,1,5.938047001,67.1040182,10,33,90,96
mg7_n,21,1,7.111215232,4.605774785,0.044205878,1,5.302887393,80.36205563,10,33,90,96
mg7_n,1,0,19.10516472,0,0.060012017,0,0,NaN,10,33,90,96
mg7_n,45,10,0.222867138,8.056002752,0.044878247,2,11.23559415,173.7060518,10,33,90,96
mg7_n,42,26,3.353023923,3.120395508,0.037525204,2,10.31660925,170.6568243,10,33,90,96
mg7_n ave,NaN,NaN,2.125258181,3.67174436,0.038939195,1.09375,5.316471862,80.0406673,10,33,90,96
,,,,,,,,,12.5,,,
